Name,Latitude,Longitude
"['Blackfoot', 'Bingham County', 'Idaho Territory']",43.194,-112.3454
"['Bloomfield', 'Essex County', 'New Jersey']",40.8098,-74.1869
"['Bloomfield', 'Ontario County', 'New York']",40.6943,-73.9249
"['Bluffdale', 'Salt Lake and Utah Counties', 'Utah']",40.4744,-111.9381
"['Bluffdale', 'Salt Lake and Utah Counties', 'Utah Territory']",40.4744,-111.9381
"['Bolton', 'Lancashire', 'England']",53.578,-2.429
"['Bordentown', 'Burlington County', 'New Jersey']",40.142,-74.7098
"['Bosley', 'Cheshire', 'England']",41.5113,-72.9036
"['Boston', 'Suffolk County', 'Massachusetts']",42.3188,-71.0852
"['Boston Common', 'Boston', 'Suffolk County', 'Massachusetts']",42.3188,-71.0852
"['Bouctouche', 'Kent County', 'New Brunswick', 'British North America']",40.487,-74.445
"['Boulder', 'Boulder County', 'Colorado']",-22.8378,-51.9728
"['Bountiful', 'Davis County', 'Utah']",40.8721,-111.8647
"['Bountiful', 'Davis County', 'Utah Territory']",40.8721,-111.8647
"['Bountiful Meeting House', 'Bountiful', 'Davis County', 'Utah Territory']",40.8721,-111.8647
"['Box Elder County Courthouse', 'Brigham City', 'Box Elder County', 'Utah Territory']",41.5035,-112.0453
"['Bradford', 'Essex County', 'Massachusetts']",53.8,-1.75
"['Bradford', 'Penobscot County', 'Maine']",53.8,-1.75
"['Bradford', 'Yorkshire', 'England']",38.7882,-77.4496
"['Brandon', 'Manitoba', 'Canada']",49.8483,-99.95
"['Brattleboro', 'Windham County', 'Vermont']",42.8619,-72.6145
"['Bredstrup', 'Nørre Nærå', 'Skam', 'Odense', 'Denmark']",55.3958,10.3886
"['Bridgeport', 'Fairfield County', 'Connecticut']",41.1918,-73.1954
"['Bridgeport', 'Marion County', 'Indiana']",40.622,-79.1552
"['Brigham City', 'Apache County', 'Arizona Territory']",41.5035,-112.0453
"['Brigham City', 'Box Elder County', 'Utah']",41.5035,-112.0453
"['Brigham City', 'Box Elder County', 'Utah Territory']",41.5035,-112.0453
"['Brigham City Bowery', 'Brigham City', 'Apache County', 'Arizona Territory']",41.5035,-112.0453
"['Brigham City Mill', 'Brigham City', 'Apache County', 'Arizona Territory']",41.5035,-112.0453
"['Brigham Young Academy', 'Provo', 'Utah County', 'Utah']",40.2457,-111.6457
"['Brigham Young Academy', 'Provo', 'Utah County', 'Utah Territory']",40.2457,-111.6457
"['Brigham Young College', 'Logan', 'Cache County', 'Utah']",41.7399,-111.8422
"['Brigham Young Winter Home', 'St. George', 'Washington County', 'Utah Territory']",37.0758,-113.5752
"['Brighouse', 'Yorkshire', 'England']",38.7882,-77.4496
"['Brighton', 'Sussex', 'England']",43.1346,-88.2226
"['Brisbane', 'Queensland', 'Australia']",22.4995,-81.1359
"['British Museum', 'London', 'Middlesex', 'England']",40.5744,-74.5011
"['Broadbottom', 'Cheshire', 'England']",41.5113,-72.9036
"['Broadway', 'New York City', 'New York County', 'New York']",40.6943,-73.9249
"['Brockport', 'Monroe County', 'New York']",40.6943,-73.9249
"['Brooklyn', 'Kings County', 'New York']",40.6943,-73.9249
"['Brunswick', 'Cumberland County', 'Maine']",43.9007,-69.9761
"['Brunswick', 'Medina County', 'Ohio']",41.2465,-81.8198
"['Brutus', 'Cayuga County', 'New York']",40.6943,-73.9249
"['Buckingham Palace', 'Westminster', 'Middlesex', 'England']",40.5744,-74.5011
"['Bucyrus', 'Crawford County', 'Ohio']",40.8054,-82.9719
"['Buffalo', 'Erie County', 'New York']",40.6943,-73.9249
"['Burley', 'Cassia and Lincoln Counties', 'Idaho']",42.5379,-113.7926
"['Burlington', 'Des Moines County', 'Iowa']",40.8071,-91.1247
"['Burlington', 'Hartford County', 'Connecticut']",41.7598,-72.959
"['Burnley', 'Lancashire', 'England']",53.789,-2.248
"['Burslem', 'Staffordshire', 'England']",53.0426,-2.1879
"['Bury', 'Lancashire', 'England']",53.593,-2.298
"['Bushnell Basin', 'New York']",40.6943,-73.9249
"['Butte', 'Silver Bow County', 'Montana']",43.4075,23.2217
"['Buxton', 'York County', 'Maine']",53.259,-1.911
"['Calgary', 'Northwest Territories', 'Canada']",51.05,-114.0667
['California'],38.2969,-76.4949
"['Calistoga', 'Napa County', 'California']",38.2969,-76.4949
"['Cambridge', 'Middlesex County', 'Massachusetts']",42.3759,-71.1185
"['Cambridge', 'Waipa', 'Waikato', 'New Zealand']",-37.8833,175.4667
"['Cambridge City', 'Wayne County', 'Indiana']",40.622,-79.1552
"['Cambridgeport', 'Cambridge', 'Middlesex County', 'Massachusetts']",42.3759,-71.1185
"['Camden', 'Camden County', 'New Jersey']",39.9361,-75.1073
"['Camillus', 'Onondaga County', 'New York']",40.6943,-73.9249
"['Camp Verde', 'Yavapai County', 'Arizona Territory']",34.569,-111.856
"['Canajoharie', 'Montgomery County', 'New York']",40.6943,-73.9249
"['Canandaigua', 'Ontario County', 'New York']",40.6943,-73.9249
"['Canton', 'Hartford County', 'Connecticut']",41.86,-72.9083
"['Canton', 'St. Lawrence County', 'New York']",40.6943,-73.9249
"['Cape Horn', 'Placer County', 'California']",38.2969,-76.4949
"['Cape of Good Hope', 'Cape Town', 'Western Cape', 'South Africa']",-33.9253,18.4239
"['Cassello', 'Lake County', 'Indiana']",40.622,-79.1552
"['Castle Crags', 'Shasta County', 'California']",38.2969,-76.4949
"['Cattaraugus County', 'New York']",40.6943,-73.9249
"['Caughdenoy', 'Oswego County', 'New York']",40.6943,-73.9249
"['Cedar City', 'Iron County', 'Utah']",37.6834,-113.0956
"['Cedar City', 'Iron County', 'Utah Territory']",37.6834,-113.0956
"['Cedar Rapids', 'Linn County', 'Iowa']",41.9662,-91.6783
"['Centerville', 'Davis County', 'Utah']",40.9284,-111.8848
"['Centerville', 'New Castle County', 'Delaware']",40.2851,-83.0741
"['Centerville', 'Wayne County', 'Indiana']",40.622,-79.1552
"['Charleston', 'Charleston County', 'South Carolina']",32.8168,-79.9687
"['Charlottetown', 'Queens County', 'Prince Edward Island', 'British North America']",46.2403,-63.1347
"['Chatham', 'Columbia County', 'New York']",40.6943,-73.9249
"['Chatham', 'Northumberland County', 'New Brunswick', 'British North America']",40.487,-74.445
"['Chattanooga', 'Hamilton and Marion Counties', 'Tennessee']",35.066,-85.2481
"['Cheadle', 'Staffordshire', 'England']",52.9849,-1.9865
"['Chelsea', 'London', 'Middlesex', 'England']",40.5744,-74.5011
"['Chelsea', 'Suffolk County', 'Massachusetts']",42.3959,-71.0325
"['Chepstow', 'Monmouthshire', 'Wales']",51.642,-2.675
"['Cherry Creek', 'Arapahoe County', 'Colorado']",-22.8378,-51.9728
"['Cherry Creek', 'Oneida County', 'Idaho']",39.6094,-104.8645
