Name,Latitude,Longitude
['Arizona Territory'],:(,:(
['Arkansas'],:(,:(
"['Arkansas River', 'United States']",40.6943,-73.9249
['Arkansas Territory'],:(,:(
"['Arkansas Valley', 'Colorado']",:(,:(
"['Arlington Hotel', 'Washington', 'D.C.', 'United States']",40.6943,-73.9249
"['Arnytown', 'Burlington County', 'New Jersey']",:(,:(
"['Asay', 'Garfield County', 'Utah']",:(,:(
"['Ascensión', 'Chihuahua', 'Mexico']",19.4333,-99.1333
"['Ash Creek', 'Nebraska Territory']",:(,:(
"['Ash Hollow', 'Garden County', 'Nebraska Territory']",:(,:(
"['Ashburnham', 'Worcester County', 'Massachusetts']",:(,:(
"['Ashby', 'Middlesex County', 'Massachusetts']",:(,:(
"['Ashfield', 'Worcestershire', 'England']",:(,:(
"['Ashland', 'Jackson County', 'Oregon']",:(,:(
"['Ashley', 'Uintah County', 'Utah Territory']",:(,:(
"['Ashley Creek', 'Utah Territory']",:(,:(
"['Ashtabula', 'Ashtabula County', 'Ohio']",:(,:(
"['Ashton-under-Lyne', 'Lancashire', 'England']",:(,:(
['Asia'],:(,:(
['Asia Minor'],:(,:(
"['Aspen', 'Pitkin County', 'Colorado']",:(,:(
"['Assembly Hall', 'Manti', 'Sanpete County', 'Utah Territory']",:(,:(
"['Assembly Hall', 'Ogden', 'Weber County', 'Utah Territory']",:(,:(
"['Assembly Hall', 'Salt Lake City', 'Salt Lake County', 'Utah']",:(,:(
"['Assembly Hall', 'Salt Lake City', 'Salt Lake County', 'Utah Territory']",:(,:(
['Assyria'],:(,:(
"['Astoria', 'Clatsop County', 'Oregon']",:(,:(
"['Atchison', 'Atchison County', 'Kansas Territory']",:(,:(
"['Athens', 'Windham County', 'Vermont']",:(,:(
"['Atkinville', 'Washington County', 'Utah Territory']",:(,:(
"['Atkinville Pond', 'Atkinville', 'Washington County', 'Utah Territory']",:(,:(
['Atlantic Ocean'],:(,:(
"['Atlas', 'Pike County', 'Illinois']",:(,:(
"['Atrisco', 'Bernalillo County', 'New Mexico Territory']",:(,:(
"['Auburn', 'Cumberland County', 'Maine']",:(,:(
"['Auburn', 'Uinta County', 'Wyoming']",:(,:(
"['Auburn Hills', 'Oakland County', 'Michigan']",:(,:(
"['Auckland', 'New Zealand']",-36.8406,174.74
"['Audley', 'Staffordshire', 'England']",:(,:(
"['Augusta', 'Des Moines County', 'Iowa Territory']",:(,:(
"['Augusta', 'Hancock County', 'Illinois']",:(,:(
"['Augusta', 'Richmond County', 'Georgia']",41.7225,44.7925
"['Aurora', 'Kendall County', 'Illinois']",:(,:(
"['Aurora', 'Sevier County', 'Utah']",:(,:(
"['Austin', 'Mower County Minnesota']",:(,:(
"['Austin', 'Travis County', 'Texas']",:(,:(
['Australasia'],:(,:(
['Australia'],-33.8678,151.21
['Austria'],48.2083,16.3725
"['Avalon', 'Los Angeles County', 'California']",:(,:(
"['Avon', 'Cache County', 'Utah']",:(,:(
"['Avon', 'Cache County', 'Utah Territory']",:(,:(
"['Avon', 'Hartford County', 'Connecticut']",:(,:(
"['Avon', 'Livingston County', 'New York']",:(,:(
['Babylon'],:(,:(
"['Baddeley Edge', 'Staffordshire', 'England']",:(,:(
"['Badger Creek', 'Yavapai County', 'Arizona Territory']",:(,:(
"['Baker City', 'Baker County', 'Oregon']",:(,:(
"['Baldwin City', 'Douglas County', 'Kansas']",:(,:(
"['Ballsgate Common', 'Herefordshire', 'England']",:(,:(
['Baltic Sea'],:(,:(
"['Baltimore', 'Baltimore County', 'Maryland']",:(,:(
"['Bancroft', 'Bannock County', 'Idaho']",:(,:(
"['Banff', 'Northwest Territories', 'Canada']",43.7417,-79.3733
"['Bangor', 'Penobscot County', 'Maine']",:(,:(
"['Bannock', 'Boise County', 'Idaho Territory']",:(,:(
"['Bannock County', 'Idaho']",:(,:(
"['Barkhamsted', 'Litchfield County', 'Connecticut']",:(,:(
"['Barnstable County', 'Massachusetts']",:(,:(
"['Barry County', 'Missouri']",:(,:(
"['Basalt', 'Bingham County', 'Idaho']",:(,:(
"['Basin', 'Cassia County', 'Idaho']",:(,:(
