Name,Latitude,Longitude
"['Atchison', 'Atchison County', 'Kansas Territory']",39.5625,-95.1367
"['Athens', 'Windham County', 'Vermont']",,
"['Atkinville', 'Washington County', 'Utah Territory']",:(,:(
"['Atkinville Pond', 'Atkinville', 'Washington County', 'Utah Territory']",:(,:(
['Atlantic Ocean'],:(,:(
"['Atlas', 'Pike County', 'Illinois']",:(,:(
"['Atrisco', 'Bernalillo County', 'New Mexico Territory']",:(,:(
"['Auburn', 'Cumberland County', 'Maine']",44.0851,-70.2492
"['Auburn', 'Uinta County', 'Wyoming']",,
"['Auburn Hills', 'Oakland County', 'Michigan']",42.6735,-83.2448
"['Auckland', 'New Zealand']",-36.8406,174.74
"['Audley', 'Staffordshire', 'England']",:(,:(
"['Augusta', 'Des Moines County', 'Iowa Territory']",,
"['Augusta', 'Hancock County', 'Illinois']",,
"['Augusta', 'Richmond County', 'Georgia']",33.3645,-82.0708
"['Aurora', 'Kendall County', 'Illinois']",41.7638,-88.2902
"['Aurora', 'Sevier County', 'Utah']",,
"['Austin', 'Mower County Minnesota']",,
"['Austin', 'Travis County', 'Texas']",30.3005,-97.7522
['Australasia'],:(,:(
['Australia'],22.4995,-81.1359
['Austria'],:(,:(
"['Avalon', 'Los Angeles County', 'California']",38.2969,-76.4949
"['Avon', 'Cache County', 'Utah']",,
"['Avon', 'Cache County', 'Utah Territory']",,
"['Avon', 'Hartford County', 'Connecticut']",41.7907,-72.8538
"['Avon', 'Livingston County', 'New York']",40.6943,-73.9249
['Babylon'],40.6925,-73.3586
"['Baddeley Edge', 'Staffordshire', 'England']",:(,:(
"['Badger Creek', 'Yavapai County', 'Arizona Territory']",:(,:(
"['Baker City', 'Baker County', 'Oregon']",,
"['Baldwin City', 'Douglas County', 'Kansas']",:(,:(
"['Ballsgate Common', 'Herefordshire', 'England']",:(,:(
['Baltic Sea'],:(,:(
"['Baltimore', 'Baltimore County', 'Maryland']",39.3051,-76.6144
"['Bancroft', 'Bannock County', 'Idaho']",:(,:(
"['Banff', 'Northwest Territories', 'Canada']",57.667,-2.524
"['Bangor', 'Penobscot County', 'Maine']",44.8323,-68.7906
"['Bannock', 'Boise County', 'Idaho Territory']",:(,:(
"['Bannock County', 'Idaho']",:(,:(
"['Barkhamsted', 'Litchfield County', 'Connecticut']",:(,:(
"['Barnstable County', 'Massachusetts']",:(,:(
"['Barry County', 'Missouri']",:(,:(
"['Basalt', 'Bingham County', 'Idaho']",:(,:(
"['Basin', 'Cassia County', 'Idaho']",:(,:(
"['Basin', 'Cassia County', 'Idaho Territory']",:(,:(
"['Bastard', 'Leeds County', 'Canada West', 'British North America']",:(,:(
"['Batavia', 'Genesee County', 'New York']",40.6943,-73.9249
"['Bath', 'Medina County', 'Ohio']",,
"['Bath', 'Sagadahoc County', 'Maine']",43.9346,-69.8346
"['Bath', 'Somerset', 'England']",,
"['Battle Creek', 'Calhoun County', 'Michigan']",42.2985,-85.2296
"['Battle Creek', 'Utah County', 'Utah Territory']",42.2985,-85.2296
"['Bavaria', 'Germany']",:(,:(
"['Bay of Islands', 'New Zealand']",:(,:(
"['Bay of San Francisco', 'Mexican Cession Territory']",:(,:(
"['Bear Lake', 'Idaho and Utah Territories']",:(,:(
"['Bear Lake County', 'Idaho Territory']",:(,:(
"['Bear Lake Valley', 'Idaho and Utah']",:(,:(
