Internal ID,Name,Address,State or Province,County,City,Specific Place,Modern Location,Visited,Mentioned Only,Website URL,Latitude,Longitude
33379,"Lewisville, Bingham County, Idaho Territory",,,Bingham County,,,,,,https://wilfordwoodruffpapers.org/subjects/lewisville-bingham-county-idaho-territory,50.2836,57.2297
33381,"Greenville, Beaver County, Utah Territory",,Utah Territory,Beaver County,Greenville,,"Greenville, Beaver County, Utah",,,https://wilfordwoodruffpapers.org/subjects/greenville-beaver-county-utah-territory,27.6833,84.4333
33392,"Camas, Fremont County, Idaho",,Idaho,Fremont County,Camas,,"Camas, Jefferson County, Idaho",,,https://wilfordwoodruffpapers.org/subjects/camas-fremont-county-idaho,42.9,71.3667
33393,"Tintic, Juab County, Utah Territory",,Utah Territory,Juab County,Tintic,,"mining district near Eureka, Juab County, Utah",,,https://wilfordwoodruffpapers.org/subjects/tintic-juab-county-utah-territory,22.4608,114.0012
33394,"Hidalgo del Parral, Chihuahua, Mexico ",,Chihuahua,,Hidalgo del Parral,,"Hidalgo del Parral, Chihuahua, Mexico",,,https://wilfordwoodruffpapers.org/subjects/hidalgo-del-parral-chihuahua-mexico,52.3,76.95
33396,"Lewisville, Bingham County, Idaho",,Idaho,Bingham County,,,,,,https://wilfordwoodruffpapers.org/subjects/lewisville-bingham-county-idaho,50.4333,80.2667
33399,"Lyman, Oneida County, Idaho Territory",,Idaho Territory,Oneida County,Lyman,,"Lyman, Madison County, Idaho",,,https://wilfordwoodruffpapers.org/subjects/lyman-oneida-county-idaho-territory,49.9833,82.6167
33400,"Teton, Oneida County, Idaho Territory",,Idaho Territory,Oneida County,Teton/Teton City,,"Teton, Fremont County, Idaho",,,https://wilfordwoodruffpapers.org/subjects/teton-oneida-county-idaho-territory,27.6666,85.3333
33401,"Benicia, Solano County, California",,California,Solano County,Benicia,,"Benicia, Solano County, California",,,https://wilfordwoodruffpapers.org/subjects/benicia-solano-county-california,47.1167,51.8833
33402,"Monterey Bay, California",,California,,,Monterey Bay,"Monterey Bay, California",,,https://wilfordwoodruffpapers.org/subjects/monterey-bay-california,16.2411,-61.5331
33403,"Bombay, British India",,,,Bombay,,"Mumbai, Maharashtra, India",,,https://wilfordwoodruffpapers.org/subjects/bombay-british-india,22.2867,114.155
33404,"Warm Creek, Sanpete County, Utah Territory",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/warm-creek-sanpete-county-utah-territory,22.3456,114.1
33406,"Dartmouth, Halifax, Nova Scotia, British North America",,Nova Scotia,Halifax,Dartmouth,,,,,https://wilfordwoodruffpapers.org/subjects/dartmouth-halifax-nova-scotia-british-north-america,44.85,65.5167
33407,"Tintic, Juab County, Utah",,Utah,,,,,,,https://wilfordwoodruffpapers.org/subjects/tintic-juab-county-utah,51.2225,51.3725
33408,"Lyman, Bingham County, Idaho",,Idaho,Bingham County,,,,,,https://wilfordwoodruffpapers.org/subjects/lyman-bingham-county-idaho,53.2,63.62
33410,"Market Lake, Fremont County, Idaho",,Idaho,Fremont County,,,,,,https://wilfordwoodruffpapers.org/subjects/market-lake-fremont-county-idaho,54.8833,69.1667
33412,"Rigby, Fremont County, Idaho",,Idaho,Fremont County,,,,,,https://wilfordwoodruffpapers.org/subjects/rigby-fremont-county-idaho,31.5333,35.095
33413,"St. Anthony, Fremont County, Idaho",,Idaho,Fremont County,St. Anthony,,"St. Anthony, Fremont County, Idaho",,,https://wilfordwoodruffpapers.org/subjects/st-anthony-fremont-county-idaho,50.72,-1.88
33414,"Leduc, Alturas County, Idaho",,Idaho,Alturas County,Leduc,,"Leduc, Blaine County, Idaho",,,https://wilfordwoodruffpapers.org/subjects/leduc-alturas-county-idaho,22.3094,114.2361
33418,"Black Rock, Millard County, Utah Territory",,Utah Territory,Millard County,,Black Rock,ghost town,,,https://wilfordwoodruffpapers.org/subjects/black-rock-millard-county-utah-territory,50.05,72.95
33420,Tyre,,,,Tyre,,"Tyre, South Governorate, Lebanon",,,https://wilfordwoodruffpapers.org/subjects/tyre,43.6525,51.1575
33421,Nineveh,,,,Nineveh,,"Mosul, Nineveh Governorate, Iraq",,,https://wilfordwoodruffpapers.org/subjects/nineveh,20.372,72.917
33431,"Laguna Catemaco, Veracruz, Mexico",,Veracruz,,,Laguna Catemaco,"Laguna Catemaco, Veracruz, Mexico",,,https://wilfordwoodruffpapers.org/subjects/laguna-catemaco-veracruz-mexico,53.2833,69.3833
33462,"Lehi Sugar Factory, Lehi, Utah County, Utah Territory",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/lehi-sugar-factory-lehi-utah-county-utah-territory,43.3019,68.2692
33464,"Bonanza, Klamath County, Oregon",,Oregon,Klamath County,Bonanza,,"Bonanza, Klamath County, Oregon",,,https://wilfordwoodruffpapers.org/subjects/bonanza-klamath-county-oregon,51.6667,75.3667
33465,"Dartmouth, Halifax, Nova Scotia, Canada",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/dartmouth-halifax-nova-scotia-canada,31.2886,34.2519
33466,"Bergenfield, Bergen County, New Jersey",,New Jersey,Bergen County,Bergenfield,,"Bergenfield, Bergen, New Jersey",,,https://wilfordwoodruffpapers.org/subjects/bergenfield-bergen-county-new-jersey,32.2222,35.2611
33469,"Leigh, Fremont County, Idaho",,Idaho,Fremont County,Leigh,,"Leigh, Teton County, Idaho",,,https://wilfordwoodruffpapers.org/subjects/leigh-fremont-county-idaho,28.0333,82.4833
33470,"Blinkwater, South Africa",,,,Blinkwater,,"Blinkwater, eDumbe, ZwaZulu-Natal, South Africa",,,https://wilfordwoodruffpapers.org/subjects/blinkwater-south-africa,43.3378,52.8553
33472,"Mountain View, Northwest Territories, Canada",,Northwest Territories,,Mountain View,,"Mountain View, Alberta, Canada",,,https://wilfordwoodruffpapers.org/subjects/mountain-view-northwest-territories-canada,43.6905,51.1417
33474,"Brazos River, Texas",,Texas,,,Brazos River,"Brazos River, Texas",,,https://wilfordwoodruffpapers.org/subjects/brazos-river-texas,50.7167,-1.9833
33475,"Bosque County, Texas",,Texas,Bosque County,,,"Bosque County, Texas",,,https://wilfordwoodruffpapers.org/subjects/bosque-county-texas,31.3444,34.3031
33476,"Brandon, Manitoba, Canada",,Manitoba,,Brandon,,"Brandon, Manitoba, Canada",,,https://wilfordwoodruffpapers.org/subjects/brandon-manitoba-canada,27.0,84.8667
33477,"Rhewl, Mostyn, Flintshire, Wales",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/rhewl-mostyn-flintshire-wales,45.0167,78.3667
33478,"Prospect, Marion County, Ohio",,Ohio,Marion County,Prospect,,"Prospect, Marion County, Ohio",,,https://wilfordwoodruffpapers.org/subjects/prospect-marion-county-ohio,52.9667,63.1333
33484,"Rio de Janeiro, Rio de Janeiro, Brazil",,Rio de Janeiro,,Rio de Janeiro,,"Rio de Janeiro, Rio de Janeiro, Brazil",,,https://wilfordwoodruffpapers.org/subjects/rio-de-janeiro-rio-de-janeiro-brazil,22.2877,114.1365
33485,"Ora, Fremont County, Idaho",,Idaho,Fremont County,Ora,,no longer exists,,,https://wilfordwoodruffpapers.org/subjects/ora-fremont-county-idaho,13.4692,144.7332
33499,"Coyote, Garfield County, Utah",,Utah,Garfield County,"Coyote 
AKA Coyoto",,"Antimony, Garfield County, Utah",,,https://wilfordwoodruffpapers.org/subjects/coyote-garfield-county-utah,26.8167,87.2833
33503,"Marysvale, Piute County, Utah",,Utah,,,,,,,https://wilfordwoodruffpapers.org/subjects/marysvale-piute-county-utah,14.5417,121.0667
33504,"Tittensor, Staffordshire, England",,,,,,,,,https://wilfordwoodruffpapers.org/subjects/tittensor-staffordshire-england,22.3674,114.1273
33505,"Staleybridge, Cheshire, England",,,Cheshire,Staleybridge,,"Stalybridge, Tameside, Greater Manchester, England",,,https://wilfordwoodruffpapers.org/subjects/staleybridge-cheshire-england,28.7136,80.5692
